REF_DATE,GEO,Custodial admissions,Age group,VALUE
2000/2001,Saskatchewan,"Total, custodial admissions",18 to 19 years,1584
2000/2001,Saskatchewan,"Total, custodial admissions",20 to 24 years,3274
2000/2001,Saskatchewan,"Total, custodial admissions",25 to 29 years,2267
2000/2001,Saskatchewan,"Total, custodial admissions",30 to 34 years,1922
2000/2001,Saskatchewan,"Total, custodial admissions",35 to 39 years,1826
2000/2001,Saskatchewan,"Total, custodial admissions",40 to 44 years,1034
2000/2001,Saskatchewan,"Total, custodial admissions",45 to 49 years,535
2000/2001,Saskatchewan,"Total, custodial admissions",50 years and over,503
2000/2001,Saskatchewan,"Total, custodial admissions",Age unknown,44
2000/2001,Saskatchewan,Sentenced,"Total, custodial admissions by age group",3219
2000/2001,Saskatchewan,Sentenced,18 to 19 years,317
2000/2001,Saskatchewan,Sentenced,20 to 24 years,752
2000/2001,Saskatchewan,Sentenced,25 to 29 years,551
2000/2001,Saskatchewan,Sentenced,30 to 34 years,497
2000/2001,Saskatchewan,Sentenced,35 to 39 years,452
2000/2001,Saskatchewan,Sentenced,40 to 44 years,299
2000/2001,Saskatchewan,Sentenced,45 to 49 years,169
2000/2001,Saskatchewan,Sentenced,50 years and over,175
2000/2001,Saskatchewan,Sentenced,Age unknown,7
2000/2001,Saskatchewan,Sentenced,Median age on admission,29
2000/2001,Saskatchewan,Remand,"Total, custodial admissions by age group",9548
2000/2001,Saskatchewan,Remand,18 to 19 years,1261
2000/2001,Saskatchewan,Remand,20 to 24 years,2485
2000/2001,Saskatchewan,Remand,25 to 29 years,1652
2000/2001,Saskatchewan,Remand,30 to 34 years,1383
2000/2001,Saskatchewan,Remand,35 to 39 years,1348
2000/2001,Saskatchewan,Remand,40 to 44 years,706
2000/2001,Saskatchewan,Remand,45 to 49 years,362
2000/2001,Saskatchewan,Remand,50 years and over,314
2000/2001,Saskatchewan,Remand,Age unknown,37
2000/2001,Saskatchewan,Remand,Median age on admission,27
2000/2001,Saskatchewan,Other custodial statuses,"Total, custodial admissions by age group",222
2000/2001,Saskatchewan,Other custodial statuses,18 to 19 years,6
2000/2001,Saskatchewan,Other custodial statuses,20 to 24 years,37
2000/2001,Saskatchewan,Other custodial statuses,25 to 29 years,64
2000/2001,Saskatchewan,Other custodial statuses,30 to 34 years,42
2000/2001,Saskatchewan,Other custodial statuses,35 to 39 years,26
2000/2001,Saskatchewan,Other custodial statuses,40 to 44 years,29
2000/2001,Saskatchewan,Other custodial statuses,45 to 49 years,4
2000/2001,Saskatchewan,Other custodial statuses,50 years and over,14
2000/2001,Saskatchewan,Other custodial statuses,Age unknown,0
2000/2001,Saskatchewan,Other custodial statuses,Median age on admission,30
2000/2001,Alberta,"Total, custodial admissions","Total, custodial admissions by age group",
2000/2001,Alberta,"Total, custodial admissions",Age unknown,
2000/2001,Alberta,Sentenced,"Total, custodial admissions by age group",
2000/2001,Alberta,Sentenced,Age unknown,
2000/2001,Alberta,Remand,"Total, custodial admissions by age group",
2000/2001,Alberta,Remand,Age unknown,
2000/2001,Alberta,Other custodial statuses,"Total, custodial admissions by age group",
2000/2001,Alberta,Other custodial statuses,Age unknown,
2000/2001,British Columbia,"Total, custodial admissions","Total, custodial admissions by age group",34904
2000/2001,British Columbia,"Total, custodial admissions",18 to 19 years,2489
2000/2001,British Columbia,"Total, custodial admissions",20 to 24 years,6530
2000/2001,British Columbia,"Total, custodial admissions",25 to 29 years,6313
2000/2001,British Columbia,"Total, custodial admissions",30 to 34 years,6553
2000/2001,British Columbia,"Total, custodial admissions",35 to 39 years,5816
2000/2001,British Columbia,"Total, custodial admissions",40 to 44 years,3640
2000/2001,British Columbia,"Total, custodial admissions",45 to 49 years,1858
2000/2001,British Columbia,"Total, custodial admissions",50 years and over,1608
2000/2001,British Columbia,"Total, custodial admissions",Age unknown,97
2000/2001,British Columbia,Sentenced,"Total, custodial admissions by age group",9520
2000/2001,British Columbia,Sentenced,18 to 19 years,659
2000/2001,British Columbia,Sentenced,20 to 24 years,1799
2000/2001,British Columbia,Sentenced,25 to 29 years,1730
2000/2001,British Columbia,Sentenced,30 to 34 years,1776
2000/2001,British Columbia,Sentenced,35 to 39 years,1550
2000/2001,British Columbia,Sentenced,40 to 44 years,983
2000/2001,British Columbia,Sentenced,45 to 49 years,526
2000/2001,British Columbia,Sentenced,50 years and over,481
2000/2001,British Columbia,Sentenced,Age unknown,16
2000/2001,British Columbia,Sentenced,Median age on admission,31
2000/2001,British Columbia,Remand,"Total, custodial admissions by age group",12185
2000/2001,British Columbia,Remand,18 to 19 years,921
2000/2001,British Columbia,Remand,20 to 24 years,2273
2000/2001,British Columbia,Remand,25 to 29 years,2245
2000/2001,British Columbia,Remand,30 to 34 years,2311
2000/2001,British Columbia,Remand,35 to 39 years,2039
2000/2001,British Columbia,Remand,40 to 44 years,1236
2000/2001,British Columbia,Remand,45 to 49 years,609
2000/2001,British Columbia,Remand,50 years and over,516
2000/2001,British Columbia,Remand,Age unknown,35
2000/2001,British Columbia,Remand,Median age on admission,31
2000/2001,British Columbia,Other custodial statuses,"Total, custodial admissions by age group",13199
2000/2001,British Columbia,Other custodial statuses,18 to 19 years,909
2000/2001,British Columbia,Other custodial statuses,20 to 24 years,2458
2000/2001,British Columbia,Other custodial statuses,25 to 29 years,2338
2000/2001,British Columbia,Other custodial statuses,30 to 34 years,2466
2000/2001,British Columbia,Other custodial statuses,35 to 39 years,2227
2000/2001,British Columbia,Other custodial statuses,40 to 44 years,1421
2000/2001,British Columbia,Other custodial statuses,45 to 49 years,723
2000/2001,British Columbia,Other custodial statuses,50 years and over,611
2000/2001,British Columbia,Other custodial statuses,Age unknown,46
2000/2001,British Columbia,Other custodial statuses,Median age on admission,31
2000/2001,Yukon,"Total, custodial admissions","Total, custodial admissions by age group",609
2000/2001,Yukon,"Total, custodial admissions",18 to 19 years,57
2000/2001,Yukon,"Total, custodial admissions",20 to 24 years,112
2000/2001,Yukon,"Total, custodial admissions",25 to 29 years,81
2000/2001,Yukon,"Total, custodial admissions",30 to 34 years,128
2000/2001,Yukon,"Total, custodial admissions",35 to 39 years,95
2000/2001,Yukon,"Total, custodial admissions",40 to 44 years,61
2000/2001,Yukon,"Total, custodial admissions",45 to 49 years,39
2000/2001,Yukon,"Total, custodial admissions",50 years and over,25
2000/2001,Yukon,"Total, custodial admissions",Age unknown,11
2000/2001,Yukon,Sentenced,"Total, custodial admissions by age group",294
2000/2001,Yukon,Sentenced,18 to 19 years,27
2000/2001,Yukon,Sentenced,20 to 24 years,51
