REF_DATE,GEO,Initial entry status,VALUE
2000/2001,Prince Edward Island,Secure custody,
2000/2001,Prince Edward Island,Custody and supervision (secure),
2000/2001,Prince Edward Island,Young Offenders Act (YOA) (secure),
2000/2001,Prince Edward Island,Open custody,
2000/2001,Prince Edward Island,Custody and supervision (open),
2000/2001,Prince Edward Island,Young Offenders Act (YOA) (open),
2000/2001,Prince Edward Island,Total community sentences,
2000/2001,Prince Edward Island,Intensive support and supervision,
2000/2001,Prince Edward Island,Deferred custody and supervision,
2000/2001,Prince Edward Island,Supervised probation,
2000/2001,Prince Edward Island,Other community sentences,
2000/2001,Nova Scotia,Total correctional services,2514
2000/2001,Nova Scotia,Pre-trial detention,508
2000/2001,Nova Scotia,Secure custody,11
2000/2001,Nova Scotia,Custody and supervision (secure),
2000/2001,Nova Scotia,Young Offenders Act (YOA) (secure),
2000/2001,Nova Scotia,Open custody,153
2000/2001,Nova Scotia,Custody and supervision (open),
2000/2001,Nova Scotia,Young Offenders Act (YOA) (open),
2000/2001,Nova Scotia,Total community sentences,1842
2000/2001,Nova Scotia,Intensive support and supervision,
2000/2001,Nova Scotia,Deferred custody and supervision,
2000/2001,Nova Scotia,Supervised probation,1290
2000/2001,Nova Scotia,Other community sentences,552
2000/2001,New Brunswick,Total correctional services,
2000/2001,New Brunswick,Pre-trial detention,
2000/2001,New Brunswick,Secure custody,
2000/2001,New Brunswick,Custody and supervision (secure),
2000/2001,New Brunswick,Young Offenders Act (YOA) (secure),
2000/2001,New Brunswick,Open custody,
2000/2001,New Brunswick,Custody and supervision (open),
2000/2001,New Brunswick,Young Offenders Act (YOA) (open),
2000/2001,New Brunswick,Total community sentences,
2000/2001,New Brunswick,Intensive support and supervision,
2000/2001,New Brunswick,Deferred custody and supervision,
2000/2001,New Brunswick,Supervised probation,
2000/2001,New Brunswick,Other community sentences,
2000/2001,Quebec,Total correctional services,
2000/2001,Quebec,Pre-trial detention,
2000/2001,Quebec,Secure custody,
2000/2001,Quebec,Custody and supervision (secure),
2000/2001,Quebec,Young Offenders Act (YOA) (secure),
2000/2001,Quebec,Open custody,
2000/2001,Quebec,Custody and supervision (open),
2000/2001,Quebec,Young Offenders Act (YOA) (open),
2000/2001,Quebec,Total community sentences,
2000/2001,Quebec,Intensive support and supervision,
2000/2001,Quebec,Deferred custody and supervision,
2000/2001,Quebec,Supervised probation,
2000/2001,Quebec,Other community sentences,
