REF_DATE,GEO,Initial entry status,VALUE
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (secure),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (secure),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Open custody,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (open),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (open),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Total community sentences,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Intensive support and supervision,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Deferred custody and supervision,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Supervised probation,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Other community sentences,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total correctional services,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Pre-trial detention,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Secure custody,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (secure),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (secure),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Open custody,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (open),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (open),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total community sentences,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Intensive support and supervision,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Deferred custody and supervision,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Supervised probation,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Other community sentences,
2005/2006,Manitoba,Total correctional services,3688
2005/2006,Manitoba,Pre-trial detention,1714
2005/2006,Manitoba,Secure custody,60
2005/2006,Manitoba,Custody and supervision (secure),60
2005/2006,Manitoba,Young Offenders Act (YOA) (secure),0
2005/2006,Manitoba,Open custody,166
2005/2006,Manitoba,Custody and supervision (open),166
2005/2006,Manitoba,Young Offenders Act (YOA) (open),0
2005/2006,Manitoba,Total community sentences,1748
2005/2006,Manitoba,Intensive support and supervision,
2005/2006,Manitoba,Deferred custody and supervision,81
2005/2006,Manitoba,Supervised probation,936
2005/2006,Manitoba,Other community sentences,731
2005/2006,Saskatchewan,Total correctional services,
2005/2006,Saskatchewan,Pre-trial detention,
2005/2006,Saskatchewan,Secure custody,
2005/2006,Saskatchewan,Custody and supervision (secure),
2005/2006,Saskatchewan,Young Offenders Act (YOA) (secure),
2005/2006,Saskatchewan,Open custody,
2005/2006,Saskatchewan,Custody and supervision (open),
2005/2006,Saskatchewan,Young Offenders Act (YOA) (open),
2005/2006,Saskatchewan,Total community sentences,
2005/2006,Saskatchewan,Intensive support and supervision,
2005/2006,Saskatchewan,Deferred custody and supervision,
2005/2006,Saskatchewan,Supervised probation,
2005/2006,Saskatchewan,Other community sentences,
2005/2006,Alberta,Total correctional services,1890
2005/2006,Alberta,Pre-trial detention,1797
2005/2006,Alberta,Secure custody,74
2005/2006,Alberta,Custody and supervision (secure),74
2005/2006,Alberta,Young Offenders Act (YOA) (secure),
2005/2006,Alberta,Open custody,19
2005/2006,Alberta,Custody and supervision (open),19
2005/2006,Alberta,Young Offenders Act (YOA) (open),
2005/2006,Alberta,Total community sentences,
2005/2006,Alberta,Intensive support and supervision,
2005/2006,Alberta,Deferred custody and supervision,
2005/2006,Alberta,Supervised probation,
2005/2006,Alberta,Other community sentences,
2005/2006,British Columbia,Total correctional services,
2005/2006,British Columbia,Pre-trial detention,
2005/2006,British Columbia,Secure custody,
2005/2006,British Columbia,Custody and supervision (secure),
2005/2006,British Columbia,Young Offenders Act (YOA) (secure),
2005/2006,British Columbia,Open custody,
2005/2006,British Columbia,Custody and supervision (open),
2005/2006,British Columbia,Young Offenders Act (YOA) (open),
2005/2006,British Columbia,Total community sentences,
2005/2006,British Columbia,Intensive support and supervision,
2005/2006,British Columbia,Deferred custody and supervision,
2005/2006,British Columbia,Supervised probation,
2005/2006,British Columbia,Other community sentences,
2005/2006,Yukon,Total correctional services,35
2005/2006,Yukon,Pre-trial detention,17
2005/2006,Yukon,Secure custody,0
2005/2006,Yukon,Custody and supervision (secure),0
2005/2006,Yukon,Young Offenders Act (YOA) (secure),
2005/2006,Yukon,Open custody,1
2005/2006,Yukon,Custody and supervision (open),1
2005/2006,Yukon,Young Offenders Act (YOA) (open),
2005/2006,Yukon,Total community sentences,17
2005/2006,Yukon,Intensive support and supervision,0
2005/2006,Yukon,Deferred custody and supervision,1
2005/2006,Yukon,Supervised probation,11
2005/2006,Yukon,Other community sentences,5
2005/2006,Northwest Territories including Nunavut,Total correctional services,
2005/2006,Northwest Territories including Nunavut,Pre-trial detention,
2005/2006,Northwest Territories including Nunavut,Secure custody,
2005/2006,Northwest Territories including Nunavut,Custody and supervision (secure),
2005/2006,Northwest Territories including Nunavut,Young Offenders Act (YOA) (secure),
2005/2006,Northwest Territories including Nunavut,Open custody,
2005/2006,Northwest Territories including Nunavut,Custody and supervision (open),
2005/2006,Northwest Territories including Nunavut,Young Offenders Act (YOA) (open),
2005/2006,Northwest Territories including Nunavut,Total community sentences,
2005/2006,Northwest Territories including Nunavut,Intensive support and supervision,
2005/2006,Northwest Territories including Nunavut,Deferred custody and supervision,
2005/2006,Northwest Territories including Nunavut,Supervised probation,
2005/2006,Northwest Territories including Nunavut,Other community sentences,
2005/2006,Northwest Territories,Total correctional services,94
2005/2006,Northwest Territories,Pre-trial detention,9
2005/2006,Northwest Territories,Secure custody,3
2005/2006,Northwest Territories,Custody and supervision (secure),3
2005/2006,Northwest Territories,Young Offenders Act (YOA) (secure),
2005/2006,Northwest Territories,Open custody,0
2005/2006,Northwest Territories,Custody and supervision (open),0
2005/2006,Northwest Territories,Young Offenders Act (YOA) (open),
2005/2006,Northwest Territories,Total community sentences,82
2005/2006,Northwest Territories,Intensive support and supervision,0
2005/2006,Northwest Territories,Deferred custody and supervision,0
2005/2006,Northwest Territories,Supervised probation,82
2005/2006,Northwest Territories,Other community sentences,
2005/2006,Nunavut,Total correctional services,100
2005/2006,Nunavut,Pre-trial detention,25
2005/2006,Nunavut,Secure custody,6
2005/2006,Nunavut,Custody and supervision (secure),6
2005/2006,Nunavut,Young Offenders Act (YOA) (secure),
2005/2006,Nunavut,Open custody,4
2005/2006,Nunavut,Custody and supervision (open),4
2005/2006,Nunavut,Young Offenders Act (YOA) (open),
2005/2006,Nunavut,Total community sentences,65
2005/2006,Nunavut,Intensive support and supervision,
2005/2006,Nunavut,Deferred custody and supervision,
2005/2006,Nunavut,Supervised probation,59
2005/2006,Nunavut,Other community sentences,6
2006/2007,Provinces and territories,Total correctional services,17920
2006/2007,Provinces and territories,Pre-trial detention,8375
2006/2007,Provinces and territories,Secure custody,191
2006/2007,Provinces and territories,Custody and supervision (secure),191
2006/2007,Provinces and territories,Young Offenders Act (YOA) (secure),0
2006/2007,Provinces and territories,Open custody,312
2006/2007,Provinces and territories,Custody and supervision (open),312
2006/2007,Provinces and territories,Young Offenders Act (YOA) (open),0
2006/2007,Provinces and territories,Total community sentences,9042
2006/2007,Provinces and territories,Intensive support and supervision,4
2006/2007,Provinces and territories,Deferred custody and supervision,258
2006/2007,Provinces and territories,Supervised probation,7673
2006/2007,Provinces and territories,Other community sentences,1107
2006/2007,Newfoundland and Labrador,Total correctional services,277
2006/2007,Newfoundland and Labrador,Pre-trial detention,14
2006/2007,Newfoundland and Labrador,Secure custody,5
2006/2007,Newfoundland and Labrador,Custody and supervision (secure),5
2006/2007,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
2006/2007,Newfoundland and Labrador,Open custody,8
2006/2007,Newfoundland and Labrador,Custody and supervision (open),8
2006/2007,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
2006/2007,Newfoundland and Labrador,Total community sentences,250
2006/2007,Newfoundland and Labrador,Intensive support and supervision,1
2006/2007,Newfoundland and Labrador,Deferred custody and supervision,3
2006/2007,Newfoundland and Labrador,Supervised probation,209
2006/2007,Newfoundland and Labrador,Other community sentences,37
2006/2007,Prince Edward Island,Total correctional services,
2006/2007,Prince Edward Island,Pre-trial detention,
2006/2007,Prince Edward Island,Secure custody,
2006/2007,Prince Edward Island,Custody and supervision (secure),
2006/2007,Prince Edward Island,Young Offenders Act (YOA) (secure),
2006/2007,Prince Edward Island,Open custody,
2006/2007,Prince Edward Island,Custody and supervision (open),
2006/2007,Prince Edward Island,Young Offenders Act (YOA) (open),
2006/2007,Prince Edward Island,Total community sentences,
2006/2007,Prince Edward Island,Intensive support and supervision,
2006/2007,Prince Edward Island,Deferred custody and supervision,
2006/2007,Prince Edward Island,Supervised probation,
2006/2007,Prince Edward Island,Other community sentences,
2006/2007,Nova Scotia,Total correctional services,527
2006/2007,Nova Scotia,Pre-trial detention,388
2006/2007,Nova Scotia,Secure custody,2
2006/2007,Nova Scotia,Custody and supervision (secure),2
2006/2007,Nova Scotia,Young Offenders Act (YOA) (secure),
2006/2007,Nova Scotia,Open custody,62
2006/2007,Nova Scotia,Custody and supervision (open),62
2006/2007,Nova Scotia,Young Offenders Act (YOA) (open),0
2006/2007,Nova Scotia,Total community sentences,75
2006/2007,Nova Scotia,Intensive support and supervision,
2006/2007,Nova Scotia,Deferred custody and supervision,75
2006/2007,Nova Scotia,Supervised probation,
2006/2007,Nova Scotia,Other community sentences,
2006/2007,New Brunswick,Total correctional services,600
2006/2007,New Brunswick,Pre-trial detention,107
2006/2007,New Brunswick,Secure custody,2
2006/2007,New Brunswick,Custody and supervision (secure),2
2006/2007,New Brunswick,Young Offenders Act (YOA) (secure),0
2006/2007,New Brunswick,Open custody,3
2006/2007,New Brunswick,Custody and supervision (open),3
2006/2007,New Brunswick,Young Offenders Act (YOA) (open),0
2006/2007,New Brunswick,Total community sentences,488
2006/2007,New Brunswick,Intensive support and supervision,
2006/2007,New Brunswick,Deferred custody and supervision,13
2006/2007,New Brunswick,Supervised probation,334
2006/2007,New Brunswick,Other community sentences,141
2006/2007,Quebec,Total correctional services,
2006/2007,Quebec,Pre-trial detention,
2006/2007,Quebec,Secure custody,
2006/2007,Quebec,Custody and supervision (secure),
2006/2007,Quebec,Young Offenders Act (YOA) (secure),
2006/2007,Quebec,Open custody,
2006/2007,Quebec,Custody and supervision (open),
2006/2007,Quebec,Young Offenders Act (YOA) (open),
2006/2007,Quebec,Total community sentences,
2006/2007,Quebec,Intensive support and supervision,
2006/2007,Quebec,Deferred custody and supervision,
2006/2007,Quebec,Supervised probation,
2006/2007,Quebec,Other community sentences,
2006/2007,Ontario,Total correctional services,10501
2006/2007,Ontario,Pre-trial detention,4102
2006/2007,Ontario,Secure custody,45
2006/2007,Ontario,Custody and supervision (secure),45
2006/2007,Ontario,Young Offenders Act (YOA) (secure),
2006/2007,Ontario,Open custody,49
2006/2007,Ontario,Custody and supervision (open),49
2006/2007,Ontario,Young Offenders Act (YOA) (open),0
2006/2007,Ontario,Total community sentences,6305
2006/2007,Ontario,Intensive support and supervision,2
2006/2007,Ontario,Deferred custody and supervision,88
2006/2007,Ontario,Supervised probation,6105
2006/2007,Ontario,Other community sentences,110
2006/2007,"Ontario, Ministry of Children and Youth Services (MCYS)",Total correctional services,
2006/2007,"Ontario, Ministry of Children and Youth Services (MCYS)",Pre-trial detention,
2006/2007,"Ontario, Ministry of Children and Youth Services (MCYS)",Secure custody,
2006/2007,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (secure),
2006/2007,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (secure),
2006/2007,"Ontario, Ministry of Children and Youth Services (MCYS)",Open custody,
2006/2007,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (open),
2006/2007,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (open),
