REF_DATE,GEO,DGUID,Custodial and community supervision,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2013/2014,Prince Edward Island,2016A000211,"Intensive support and supervision, community supervision",Persons,249,units,0,v32164143,2.11,,..,,,1
2013/2014,Prince Edward Island,2016A000211,"Probation rate per 10,000 young persons",Rate,257,units,0,v32164144,2.12,112.36,,,,2
2013/2014,Nova Scotia,2016A000212,Total actual-in count,Persons,249,units,0,v32164145,3.1,43.1,,,,1
2013/2014,Nova Scotia,2016A000212,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164146,3.2,28,,,,1
2013/2014,Nova Scotia,2016A000212,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164147,3.3,2.6,,,,1
2013/2014,Nova Scotia,2016A000212,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164148,3.4,25.4,,,,1
2013/2014,Nova Scotia,2016A000212,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164149,3.5,13.1,,,,1
2013/2014,Nova Scotia,2016A000212,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164150,3.6,7.08,,,,2
2013/2014,Nova Scotia,2016A000212,Total community supervision count,Persons,249,units,0,v32164151,3.7,,..,,,1
2013/2014,Nova Scotia,2016A000212,"Probation, community supervision",Persons,249,units,0,v32164152,3.8,,..,,,1
2013/2014,Nova Scotia,2016A000212,"Community portion of custody sentence, community supervision",Persons,249,units,0,v44182189,3.9,,..,,,1
2013/2014,Nova Scotia,2016A000212,"Deferred custody, community supervision",Persons,249,units,0,v44182190,3.1,,..,,,1
2013/2014,Nova Scotia,2016A000212,"Intensive support and supervision, community supervision",Persons,249,units,0,v44182191,3.11,,..,,,1
2013/2014,Nova Scotia,2016A000212,"Probation rate per 10,000 young persons",Rate,257,units,0,v32164153,3.12,,..,,,2
2013/2014,New Brunswick,2016A000213,Total actual-in count,Persons,249,units,0,v32164154,4.1,32,,,,1
2013/2014,New Brunswick,2016A000213,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164155,4.2,22.5,,,,1
2013/2014,New Brunswick,2016A000213,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164156,4.3,12.7,,,,1
